Departure_Indicator,Distance,Angle Sum,nArrOut,nArrIn,nDepOut,nDepIn,Temperature,Wind Speed,Visibility
0,20770.0,360.0,2,0,0,0,79.0,14.95,10.0
0,9910.0,240.0,1,1,0,0,79.0,14.95,10.0
0,17680.0,420.0,1,2,0,0,79.0,14.95,10.0
0,5700.0,180.0,0,0,0,0,77.0,10.35,10.0
0,8340.0,240.0,0,0,0,0,77.0,10.35,10.0
0,20770.0,360.0,1,1,0,0,77.0,10.35,10.0
0,8340.0,240.0,1,0,0,0,75.9,9.2,10.0
0,8210.0,270.0,3,0,0,0,75.9,9.2,10.0
0,8340.0,240.0,3,1,0,0,75.9,9.2,10.0
0,11910.0,360.0,6,0,0,0,75.0,9.2,10.0
0,9910.0,240.0,5,1,0,0,75.0,9.2,10.0
0,9910.0,240.0,6,1,0,0,75.0,9.2,10.0
0,9910.0,240.0,8,0,0,0,75.0,9.2,10.0
0,9910.0,240.0,6,1,2,0,75.0,9.2,10.0
0,9910.0,240.0,5,0,0,0,75.0,9.2,10.0
0,9910.0,240.0,10,1,0,0,75.0,9.2,10.0
0,5700.0,180.0,7,0,0,0,75.0,9.2,10.0
0,9910.0,240.0,7,1,0,0,75.0,9.2,10.0
0,9910.0,240.0,5,2,2,0,75.0,9.2,10.0
0,8340.0,240.0,3,1,0,0,75.0,9.2,10.0
0,5700.0,180.0,4,1,0,0,75.0,9.2,10.0
0,9910.0,240.0,4,1,0,0,75.0,9.2,10.0
0,9910.0,240.0,4,1,0,0,75.0,9.2,10.0
0,9910.0,240.0,5,2,0,0,75.0,9.2,10.0
0,9910.0,240.0,6,0,0,0,75.0,5.75,10.0
0,8340.0,240.0,7,1,1,0,75.0,5.75,10.0
0,5750.0,180.0,10,2,2,0,75.0,5.75,10.0
0,8340.0,240.0,11,3,0,0,75.0,5.75,10.0
0,5750.0,180.0,4,0,0,0,75.0,5.75,10.0
0,9910.0,240.0,11,0,0,0,75.0,5.75,10.0
0,4340.0,180.0,11,1,0,0,75.0,5.75,10.0
0,13680.0,315.0,18,0,0,0,75.0,5.75,10.0
0,10070.0,315.0,18,1,1,0,75.0,5.75,10.0
0,9910.0,240.0,18,1,0,0,75.0,5.75,10.0
0,8210.0,270.0,17,0,1,0,75.0,5.75,10.0
0,9910.0,240.0,17,1,2,0,75.0,5.75,10.0
0,8210.0,270.0,19,1,1,0,75.0,5.75,10.0
0,4340.0,180.0,20,1,0,0,75.0,5.75,10.0
0,8340.0,240.0,23,1,0,0,75.0,5.75,10.0
0,5750.0,180.0,22,1,1,0,75.0,5.75,10.0
0,13790.0,285.0,22,2,2,0,75.0,5.75,10.0
0,5750.0,180.0,22,3,2,0,75.0,5.75,10.0
0,8340.0,240.0,21,3,0,0,75.9,5.75,10.0
0,15360.0,285.0,19,4,0,0,75.9,5.75,10.0
0,5750.0,180.0,20,5,1,1,75.9,5.75,10.0
0,15360.0,285.0,20,6,0,0,75.9,5.75,10.0
0,9910.0,240.0,20,6,1,0,75.9,5.75,10.0
0,13790.0,285.0,20,7,1,0,75.9,5.75,10.0
0,5750.0,180.0,18,8,1,0,75.9,5.75,10.0
0,11230.0,225.0,17,7,2,0,75.9,5.75,10.0
0,5700.0,180.0,18,6,0,0,75.9,5.75,10.0
0,5750.0,180.0,15,4,2,0,75.9,5.75,10.0
0,13790.0,285.0,14,3,1,0,75.9,5.75,10.0
0,9910.0,240.0,12,3,0,0,75.9,5.75,10.0
0,13790.0,285.0,13,4,0,0,75.9,5.75,10.0
0,5750.0,180.0,11,2,1,0,75.9,5.75,10.0
0,11230.0,225.0,12,3,3,0,75.9,5.75,10.0
0,9910.0,240.0,11,4,2,0,75.9,5.75,10.0
0,10070.0,315.0,12,5,4,0,75.9,5.75,10.0
0,8210.0,270.0,10,6,0,0,75.9,5.75,10.0
0,15360.0,285.0,10,6,2,0,75.9,5.75,10.0
0,15360.0,285.0,12,7,1,0,75.9,5.75,10.0
0,8210.0,270.0,12,8,1,0,75.9,5.75,10.0
0,11230.0,225.0,13,6,1,0,75.9,5.75,10.0
0,4600.0,270.0,13,7,1,0,75.9,5.75,10.0
0,13680.0,315.0,13,7,2,0,75.9,5.75,10.0
0,9910.0,240.0,15,7,3,0,75.9,5.75,10.0
0,15360.0,285.0,15,8,4,0,75.9,5.75,10.0
0,13790.0,285.0,14,7,1,0,75.9,5.75,10.0
0,5750.0,180.0,14,8,3,0,75.9,5.75,10.0
0,11180.0,225.0,11,8,1,0,75.9,5.75,10.0
0,9910.0,240.0,9,7,1,0,75.9,5.75,10.0
0,8210.0,270.0,7,7,2,0,75.9,5.75,10.0
0,10070.0,315.0,3,4,2,0,75.9,5.75,10.0
0,9910.0,240.0,3,2,14,0,75.9,5.75,10.0
0,8340.0,240.0,3,3,2,0,75.9,5.75,10.0
0,5700.0,180.0,2,3,2,0,75.9,5.75,10.0
0,9910.0,240.0,3,3,2,0,75.9,5.75,10.0
0,8340.0,240.0,4,4,3,0,75.9,5.75,10.0
0,9910.0,240.0,4,3,2,0,75.9,5.75,10.0
0,9910.0,240.0,4,4,0,1,75.9,5.75,10.0
0,2950.0,180.0,5,4,1,0,75.9,5.75,10.0
0,4340.0,180.0,5,4,4,0,75.9,5.75,10.0
0,4600.0,270.0,5,4,2,0,75.9,5.75,10.0
0,5700.0,180.0,5,5,1,0,75.9,5.75,10.0
0,5700.0,180.0,6,4,1,0,75.9,5.75,7.0
0,5750.0,180.0,9,1,13,0,75.9,5.75,7.0
0,2950.0,180.0,7,2,1,0,75.9,5.75,7.0
0,2950.0,180.0,8,1,0,0,75.9,5.75,7.0
