Departure_Indicator,Distance,Angle Sum,nArrOut,nArrIn,nDepOut,nDepIn,Temperature,Wind Speed,Visibility
0,8560.0,320.0,2,0,0,0,91.9,6.9,10.0
0,4540.0,270.0,2,1,0,0,91.9,6.9,10.0
0,7100.0,270.0,0,2,0,0,91.9,6.9,10.0
0,8560.0,320.0,0,2,0,0,91.9,6.9,10.0
0,11370.0,360.0,0,3,0,0,91.9,6.9,10.0
0,11370.0,360.0,0,4,0,0,91.9,6.9,10.0
0,6390.0,270.0,1,0,0,0,73.9,9.2,10.0
0,6390.0,270.0,1,0,3,0,71.1,10.35,10.0
0,8560.0,320.0,0,0,1,0,71.1,10.35,10.0
0,9420.0,350.0,1,1,6,0,71.1,10.35,10.0
0,4540.0,270.0,1,1,0,0,71.1,10.35,10.0
0,7100.0,270.0,1,2,6,0,71.1,10.35,10.0
0,11370.0,360.0,1,3,1,0,71.1,10.35,10.0
0,5530.0,270.0,1,3,0,0,71.1,10.35,10.0
0,5530.0,270.0,3,0,0,0,68.0,8.05,10.0
0,4540.0,270.0,2,0,1,0,68.0,8.05,10.0
0,6390.0,270.0,1,1,0,0,68.0,8.05,10.0
0,6390.0,270.0,2,0,0,0,68.0,8.05,10.0
0,4540.0,270.0,8,1,3,0,68.0,8.05,10.0
0,7100.0,270.0,7,1,1,0,64.9,13.8,10.0
0,5530.0,270.0,6,2,0,0,64.9,13.8,10.0
0,7100.0,270.0,4,0,0,0,64.9,13.8,10.0
0,4630.0,300.0,6,1,0,0,64.9,13.8,10.0
0,9420.0,350.0,7,1,0,0,64.9,13.8,10.0
0,5530.0,270.0,7,2,0,0,64.9,13.8,10.0
0,9420.0,350.0,7,3,0,0,64.9,13.8,10.0
0,11370.0,360.0,3,3,0,0,64.9,13.8,10.0
0,11370.0,360.0,3,2,2,0,64.9,13.8,10.0
0,9420.0,350.0,8,2,0,0,64.9,13.8,10.0
0,11370.0,360.0,14,1,0,0,64.9,11.5,10.0
0,11370.0,360.0,14,2,0,0,64.9,11.5,10.0
0,4630.0,300.0,15,2,1,0,64.9,11.5,10.0
0,8560.0,320.0,13,3,0,0,64.9,11.5,10.0
0,9420.0,350.0,13,4,0,0,64.9,11.5,10.0
0,4630.0,300.0,13,5,0,0,64.9,11.5,10.0
0,9420.0,350.0,10,5,4,0,64.9,11.5,10.0
0,5530.0,270.0,10,6,0,0,64.9,11.5,10.0
0,4540.0,270.0,8,4,3,1,64.9,11.5,10.0
0,4630.0,300.0,4,3,4,0,64.9,11.5,10.0
0,4630.0,300.0,7,3,6,0,64.9,11.5,10.0
0,8560.0,320.0,6,3,3,0,64.9,11.5,10.0
0,9420.0,350.0,7,2,2,2,64.9,11.5,10.0
0,4630.0,300.0,7,2,3,0,64.9,11.5,10.0
0,7100.0,270.0,5,2,4,0,64.9,11.5,10.0
0,9420.0,350.0,4,3,0,0,64.9,11.5,10.0
0,7100.0,270.0,8,3,0,0,64.9,11.5,10.0
0,7100.0,270.0,8,3,4,0,64.9,11.5,10.0
0,4540.0,270.0,8,4,0,0,64.9,11.5,10.0
0,8560.0,320.0,8,4,1,0,64.9,11.5,10.0
0,11370.0,360.0,8,4,3,0,64.9,11.5,10.0
0,4630.0,300.0,8,4,5,1,64.9,11.5,10.0
0,8560.0,320.0,7,5,4,0,64.9,11.5,10.0
0,6390.0,270.0,5,5,0,0,64.9,11.5,10.0
0,11370.0,360.0,4,6,6,0,64.9,11.5,10.0
0,4630.0,300.0,5,7,4,0,64.9,11.5,10.0
0,8560.0,320.0,6,8,0,0,64.9,11.5,10.0
0,4630.0,300.0,6,7,4,0,64.0,10.35,10.0
0,5530.0,270.0,7,6,3,0,64.0,10.35,10.0
0,9420.0,350.0,8,7,6,0,64.0,10.35,10.0
0,11370.0,360.0,10,7,5,0,64.0,10.35,10.0
0,9420.0,350.0,11,5,2,0,64.0,10.35,10.0
0,11370.0,360.0,10,5,4,1,64.0,10.35,10.0
0,7100.0,270.0,9,6,0,0,64.0,10.35,10.0
0,7100.0,270.0,9,4,7,1,64.0,10.35,10.0
0,7100.0,270.0,10,5,3,0,64.0,10.35,10.0
0,4540.0,270.0,6,2,4,1,64.0,10.35,10.0
0,7100.0,270.0,4,3,3,1,64.0,10.35,10.0
0,4630.0,300.0,4,4,3,0,64.0,10.35,10.0
0,8560.0,320.0,5,3,1,0,64.0,10.35,10.0
0,11370.0,360.0,6,3,9,0,64.0,10.35,10.0
0,8560.0,320.0,7,3,6,0,64.0,10.35,10.0
0,11370.0,360.0,5,2,4,0,64.0,10.35,10.0
0,7100.0,270.0,6,2,5,0,64.0,10.35,10.0
0,4540.0,270.0,5,2,3,0,64.0,10.35,10.0
0,4540.0,270.0,6,3,3,1,64.0,10.35,10.0
0,4630.0,300.0,5,3,9,2,64.0,10.35,10.0
0,9420.0,350.0,5,2,7,1,64.0,9.2,10.0
0,5530.0,270.0,4,3,4,0,64.0,9.2,10.0
0,4630.0,300.0,5,3,5,1,64.0,9.2,10.0
0,6390.0,270.0,5,4,8,1,64.0,9.2,10.0
0,11370.0,360.0,5,5,2,0,64.0,9.2,10.0
0,9420.0,350.0,5,2,8,2,64.0,9.2,10.0
0,11370.0,360.0,6,3,8,1,64.0,9.2,10.0
0,4630.0,300.0,4,3,8,1,64.0,9.2,10.0
0,9420.0,350.0,5,3,5,1,64.0,9.2,10.0
0,11370.0,360.0,4,2,6,2,64.0,9.2,10.0
0,8560.0,320.0,4,3,4,0,64.0,9.2,10.0
0,4540.0,270.0,4,4,2,0,64.0,9.2,10.0
0,11370.0,360.0,3,3,9,1,64.0,9.2,10.0
0,9420.0,350.0,1,4,5,1,64.0,9.2,10.0
0,11370.0,360.0,1,5,7,2,64.0,9.2,10.0
0,6390.0,270.0,1,5,1,0,64.0,9.2,10.0
0,4630.0,300.0,1,5,7,1,64.0,9.2,10.0
0,8560.0,320.0,1,6,5,0,64.0,9.2,10.0
0,7100.0,270.0,3,5,5,1,64.0,9.2,10.0
0,9420.0,350.0,4,5,4,0,64.0,9.2,10.0
0,7100.0,270.0,4,5,4,1,64.0,9.2,10.0
0,4630.0,300.0,4,3,12,2,64.0,9.2,10.0
0,7100.0,270.0,3,3,14,1,64.0,9.2,10.0
0,8560.0,320.0,6,2,8,2,64.0,9.2,10.0
0,7100.0,270.0,7,2,15,2,64.0,9.2,10.0
0,7100.0,270.0,8,2,12,1,64.0,6.9,10.0
0,4630.0,300.0,7,1,11,2,64.0,6.9,10.0
0,11370.0,360.0,7,2,5,0,64.0,6.9,10.0
0,9420.0,350.0,7,2,15,1,64.0,6.9,10.0
0,6390.0,270.0,8,1,0,0,64.0,6.9,10.0
0,5530.0,270.0,6,2,12,0,64.0,6.9,10.0
0,5530.0,270.0,6,2,4,0,64.0,6.9,10.0
0,7100.0,270.0,6,3,3,1,64.0,6.9,10.0
0,4630.0,300.0,5,2,13,1,64.0,6.9,10.0
0,9420.0,350.0,5,2,9,1,64.0,6.9,10.0
0,8560.0,320.0,4,2,7,2,64.0,6.9,10.0
0,4630.0,300.0,7,2,10,3,64.0,6.9,10.0
0,4540.0,270.0,7,3,14,2,64.0,6.9,10.0
0,11370.0,360.0,7,3,10,3,64.0,6.9,10.0
0,9420.0,350.0,6,4,8,2,64.0,6.9,10.0
0,4630.0,300.0,7,3,11,2,64.0,6.9,10.0
0,9420.0,350.0,9,0,12,2,64.0,6.9,10.0
0,7100.0,270.0,9,1,7,1,64.0,8.05,10.0
0,4540.0,270.0,8,1,14,1,64.0,8.05,10.0
0,8560.0,320.0,7,1,12,2,64.0,8.05,10.0
0,8560.0,320.0,8,2,11,2,64.0,8.05,10.0
0,7100.0,270.0,7,1,4,0,64.0,8.05,10.0
0,4540.0,270.0,6,2,8,1,64.0,8.05,10.0
0,7100.0,270.0,6,2,8,1,64.0,8.05,10.0
0,7100.0,270.0,4,2,8,1,64.0,8.05,10.0
0,9420.0,350.0,4,2,17,4,64.0,8.05,10.0
0,7100.0,270.0,4,2,12,2,64.0,8.05,10.0
0,7100.0,270.0,1,3,14,3,64.0,8.05,10.0
0,5530.0,270.0,3,2,9,4,64.0,8.05,10.0
0,7100.0,270.0,5,1,17,5,64.0,8.05,10.0
